name,team,battingStyle,playingRole,bowlingStyle,description,image_link
Arshad Iqbal,Pakistan,Right hand Bat,Bowler,Right arm Medium fast,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322159.png"
Sean Williams,Zimbabwe,Left hand Bat,Middle order Batter,Slow Left arm Orthodox,"Sean Williams is a bold, dynamic left-hand batsman, and one of the most striking features about his batting is his proficiency at the reverse-sweep. That shot has occupied a proud position in the repertoire of some of Zimbabwe's finest batsmen: legend has it that Dave Houghton brought up both his hundred and his double with reverse-sweeps in the course of his 266 against Sri Lanka, and Andy Flower used the stroke in an almost profligate manner in many of his memorable innings. Williams is as adept at the stroke as either of these two elder statesmen of Zimbabwean cricket, which he proved during the course of his maiden Test century against New Zealand in Bulawayo in July 2016. Equally astounding was his resolve to overcome sickness and high fever to battle on for over three hours during the course of that knock, in a game in which Zimbabwe were floundering.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316568.png"
Kushal Malla,Nepal,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330446.png"
Venkatesh Marghashayam,Czech Republic,Right hand Bat,,Right arm Slow,,
Reo SakuranoThomas,Japan,Right hand Bat,,Right arm Medium,,
Marcus Campopiano,Italy,Right hand Bat,,Right arm Offbreak,,
Akif Raja,United Arab Emirates,Left hand Bat,Bowler,Right arm Medium fast,,
Vriitya Aravind,United Arab Emirates,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354964.png"
Mark Fontaine,Hungary,Right hand Bat,,Right arm Medium,,
Ghulam Ahmadi,Germany,Right hand Bat,,Right arm Offbreak,,
Dhruvkumar Maisuria,Botswana,Right hand Bat,,Legbreak Googly,,
Anthony Mosca,Italy,Right hand Bat,,,,
Ali Farasat,Hungary,Right hand Bat,,Right arm Offbreak,,
Anas Khan,Hong Kong,Left hand Bat,Opening Batter,Slow Left arm Orthodox,,
Mohmad Sohel Patel,Panama,Right hand Bat,,Right arm Medium,,
Matija Sarenac,Serbia,Right hand Bat,,Right arm Medium,,
Vishil Patel,Kenya,Right hand Bat,Bowler,Legbreak,,
Mungun Altankhuyag,Mongolia,Right hand Bat,,,,
Umer Toor(c),Bahrain,Right hand Bat,Opening Batter,,,
Ali Saleem(c),Norway,Right hand Bat,,,,
Matthew Breetzke,South Africa,Right hand Bat,Batter,,,
Sajad Ahmadzai,Belgium,Right hand Bat,,Right arm Medium,,
Martin Akayezu,Rwanda,Right hand Bat,,Right arm Medium,,
Zubaidi Zulkifle,Malaysia,Right hand Bat,Batter,Right arm Medium,,
Leslie Dunbar ,Serbia,Right hand Bat,,,,
Lega Siaka,Papua New Guinea,Right hand Bat,Opening Batter,"Right arm Fast medium, Legbreak","
Batter Lega Siaka was part of the side that played Papua New Guinea's very first ODI, after they got status in the format in 2014 following their fourth-place finish in the World Cup Qualifier that year. In the next game, Siaka anchored a chase of 262 with a hundred, putting on a partnership of 65 with former England keeper Geraint Jones, who played for PNG in the 2010s.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321151.png"
Tymal Mills,England,Right hand Bat,Bowler,Left arm Fast,"Tymal Mills won an England recall for the 2021 T20 World Cup after four-and-a-half years in the international wilderness, during which time regular injuries had threatened his career. Mills, one of the most explosive fast bowlers in English cricket and an innovative thinker about the short-form game, was diagnosed with a congenital back condition in 2015 - his spinal cord and vertebrae are unusually close together and bowling fast too often can agitate his spinal cord - which consigned him to a career as a T20 specialist but he embraced life on the franchise circuit.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323104.png"
Sachin Mandy ,Germany,Right hand Bat,,Right arm Medium,,
Lockie Ferguson,New Zealand,Right hand Bat,Bowler,Right arm Fast,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321239.png"
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Top order Batter,Right arm Offbreak,"Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323155.png"
Abhik Patwa(c),Tanzania,Right hand Bat,Top order Batter,Right arm Offbreak,,
Babar Azam(c),Pakistan,Right hand Bat,Batter,Right arm Offbreak,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320448.png"
Jaweed Sadran,Austria,Right hand Bat,,Right arm Medium,,
Charles Amini,Papua New Guinea,Left hand Bat,Allrounder,Legbreak,"CJ Amini comes from a long line of Papua New Guinea cricketing royalty. The third generation of his family to represent the country in cricket, CJ's grandfather Brian and father Charles were both national captains, as was his mother, Kune, for the women's side. His older brother Chris also captained the men's side, while his aunt Cheryl and other brother Colin played for representative PNG sides, leaving little doubt about CJ's future career path.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321138.png"
Emmanuel Sebareme,Rwanda,Right hand Bat,Bowling Allrounder,Right arm Offbreak,,
Michael Bracewell,New Zealand,Left hand Bat,Batting Allrounder,Right arm Offbreak,"The latest member of the Bracewell dynasty to represent New Zealand, Michael made a late introduction to international cricket when he was handed his ODI cap in 2022, playing three times against Netherlands. He was subsequently included in New Zealand's squad for their Test tour of England, and won a debut at Trent Bridge after the captain, Kane Williamson, was ruled out by a positive Covid test on the eve of the match.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/346200/346245.png"
Faizan Patel,Panama,Right hand Bat,,Right arm Medium,,
Lucky Ali,Denmark,Left hand Bat,,Slow Left arm Orthodox,,
Clinton Rubagumya(c),Rwanda,Right hand Bat,,Right arm Medium,,
Sivakumar Periyalwar,Romania,Right hand Bat,,Right arm Medium fast,,
Phil Salt ,England,Right hand Bat,Wicketkeeper Batter,Right arm Offbreak,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/324200/324245.png"
Choudry Share Ali,Sweden,Right hand Bat,,Right arm Offbreak,,
Zaker Taqawi,Sweden,Left hand Bat,,,,
Ramesh Satheesan(c),Romania,Right hand Bat,,Right arm Offbreak,,
Luvsanzundui Erdenebulgan(c),Mongolia,Right hand Bat,,Right arm Medium,,
Sharwan Godara,Cambodia,Right hand Bat,,Right arm Medium,,
Roger Mukasa,Uganda,Right hand Bat,,Right arm Offbreak,,
Kenroy Nestor,Gibraltar,Right hand Bat,,Right arm Fast,,
Muhammed Turkmen,Turkey,Right hand Bat,,Right arm Medium,,
Godfred Bakiweyem,Ghana,Right hand Bat,,Right arm Medium,,
Dieter Klein,Germany,Right hand Bat,,Left arm Medium fast,"South African left-arm seamer Dieter Klein was registered by Leicestershire during the 2016 season at which point he possessed an appealing 154 first-class wickets at 26, his deal extending until the end of 2017. Klein, who was playing for Lowerhouse in the Lancashire League, qualified as a non-overseas player by virtue of a German passport.

ESPNcricinfo staff",
Sohail Ahmad,Croatia,Right hand Bat,,Right arm Medium fast,,
Gulsan Jha,Nepal,Left hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330440.png"
Saad Bin Zafar,Canada,Left hand Bat,Allrounder,Slow Left arm Orthodox,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321200/321289.png"
Alister Gajic,Serbia,Right hand Bat,,Right arm Medium fast,,
Tim Southee(c),New Zealand,Right hand Bat,Bowler,Right arm Medium fast,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316596.png"
Etienne Beukes,Cambodia,Right hand Bat,,Right arm Medium,,
Luvsanzundui Erdenebulgan,Mongolia,Right hand Bat,,Right arm Medium,,
Divyendra Singh,Czech Republic,Right hand Bat,,Right arm Medium fast,,
Rajesh Kumar,Romania,Right hand Bat,,Right arm Medium fast,,
Amanpreet Sirah,Philippines,Right hand Bat,,Legbreak Googly,,
Muhammad Waseem,United Arab Emirates,Right hand Bat,Opening Batter,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/354900/354962.png"
Utkarsh Jain,Cambodia,Right hand Bat,,Slow Left arm Orthodox,,
Aiden Markram,South Africa,Right hand Bat,Opening Batter,Right arm Offbreak,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322067.png"
Ishak Elec,Turkey,Right hand Bat,,Right arm Medium fast,,
Obed Harvey,Ghana,Left hand Bat,,Left arm Medium,,
Sahan Arachchige,Sri Lanka,Left hand Bat,Batting Allrounder,Right arm Offbreak,,
Alex Osei,Ghana,Right hand Bat,Batter,,,
Arun Ashokan,Czech Republic,Right hand Bat,,Right arm Medium,,
Akeal Hosein,West Indies,Left hand Bat,Bowler,Slow Left arm Orthodox,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321900/321939.png"
Mukesh Kumar,India,Right hand Bat,Bowler,Right arm Medium,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/373900/373907.png"
Vedran Zanko,Croatia,Right hand Bat,,Right arm Medium fast,,
Nikunj Ahir,Panama,Right hand Bat,Bowler,Right arm Medium fast,,
Sathaiya Veerapathiran,Bahrain,Right hand Bat,Allrounder,Right arm Medium,,
Sanju Samson,India,Right hand Bat,Wicketkeeper Batter,,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322700/322701.png"
Qamar Mushtaque,Norway,Right hand Bat,,Right arm Medium fast,,
Izhar Hussain,Switzerland,Right hand Bat,,Right arm Medium,,
Mitchell Santner(c),New Zealand,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319792.png"
Ramiro Escobar ,Argentina,Right hand Bat,,,,
Grant Stewart,Italy,Right hand Bat,Bowling Allrounder,Right arm Medium fast,"Fast-bowling all-rounder Grant Stewart signed his first professional contract for Kent in 2017 after his 2nd XI form promised he could alleviate the county's shortage of pace bowlers. Australian-born Stewart is not classed as an overseas player as he has an EU passport through his Italian mother. A qualified civil engineer, who grew up in New South Wales, he made his first-class debut as a bowling allrounder in the final game of the 2017 Championship season.",
Osama Mahmood,Switzerland,Left hand Bat,,Right arm Medium fast,,
Ravi Thapliyal,Belgium,Left hand Bat,,Slow Left arm Orthodox,,
Faisal Mehmood,Belgium,Right hand Bat,,Right arm Medium,,
Zahid Zadran,Germany,Right hand Bat,,Right arm Medium,,
Ahmadi Ravat,Panama,Right hand Bat,,,,
Shem Ngoche,Kenya,Right hand Bat,Bowler,Slow Left arm Orthodox,"One of a number of younger players starting to force their way into the Kenyan national side, Shem Obado Ngoche is a diminutive left-arm spinner whose early performances in the senior team suggested much promise as a limited-overs bowler. Often operating around the wicket, Ngoche does not turn the ball much but has the gift of accuracy. Ngoche comes from a strong cricket-playing family, with five of his siblings having represented the senior men's and women's sides.
Liam Brickhill ","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321389.png"
Tom Latham(c) ,New Zealand,Left hand Bat,Wicketkeeper Batter,Right arm Medium,"The son of former allrounder Rod Latham, Tom Latham played varied roles for New Zealand since his international debut at the age of 19. He batted in every position from No. 1 to 9 in limited-overs cricket, and also took on the responsibility of being a wicketkeeper. In Tests, however, Latham was primarily used as an opening batsman, and he quickly settled into a position New Zealand had trouble filling for years.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316672.png"
